Date,Close
2006-02-20,"1,287.24"
2006-02-21,"1,283.04"
2006-02-22,"1,292.67"
2006-02-23,"1,287.79"
2006-02-24,"1,289.43"
2006-02-27,"1,294.12"
2006-02-28,"1,280.66"
2006-03-02,"1,289.14"
2006-03-03,"1,287.23"
2006-03-06,"1,278.26"
2006-03-07,"1,275.88"
2006-03-08,"1,278.47"
2006-03-09,"1,272.23"
2006-03-10,"1,281.58"
2006-03-13,"1,284.13"
2006-03-14,"1,297.48"
2006-03-15,"1,303.02"
2006-03-16,"1,305.33"
2006-03-17,"1,307.25"
2006-03-20,"1,305.08"
2006-03-21,"1,297.23"
2006-03-22,"1,305.04"
2006-03-23,"1,301.67"
2006-03-24,"1,302.95"
2006-03-27,"1,301.61"
2006-03-28,"1,293.23"
2006-03-29,"1,302.89"
2006-03-30,"1,300.25"
2006-03-31,"1,294.83"
2006-04-03,"1,297.81"
2006-04-04,"1,305.93"
2006-04-05,"1,311.56"
2006-04-06,"1,309.04"
2006-04-07,"1,295.50"
2006-04-10,"1,296.60"
2006-04-11,"1,286.57"
2006-04-12,"1,288.12"
2006-04-13,"1,289.12"
2006-04-14,"1,289.12"
2006-04-17,"1,285.33"
2006-04-18,"1,307.65"
2006-04-19,"1,309.93"
2006-04-20,"1,311.46"
2006-04-21,"1,311.28"
2006-04-24,"1,308.11"
2006-04-25,"1,301.74"
2006-04-26,"1,305.41"
2006-04-27,"1,309.72"
2006-04-28,"1,310.61"
2006-05-02,"1,313.21"
2006-05-03,"1,307.85"
2006-05-04,"1,312.25"
2006-05-08,"1,324.66"
2006-05-09,"1,325.14"
2006-05-10,"1,322.85"
2006-05-11,"1,305.92"
2006-05-12,"1,291.24"
2006-05-15,"1,294.50"
2006-05-16,"1,292.08"
2006-05-17,"1,270.32"
2006-05-18,"1,261.81"
2006-05-19,"1,267.03"
2006-05-22,"1,262.07"
2006-05-23,"1,256.58"
2006-05-24,"1,258.57"
2006-05-25,"1,272.88"
2006-05-26,"1,280.16"
2006-05-29,"1,280.16"
2006-05-30,"1,259.84"
2006-06-01,"1,285.71"
2006-06-02,"1,288.22"
2006-06-05,"1,265.29"
2006-06-07,"1,256.15"
2006-06-08,"1,257.93"
2006-06-09,"1,252.30"
2006-06-12,"1,236.40"
2006-06-13,"1,223.69"
2006-06-14,"1,230.04"
2006-06-15,"1,256.16"
2006-06-16,"1,251.54"
2006-06-19,"1,240.14"
2006-06-20,"1,240.12"
2006-06-21,"1,252.20"
2006-06-22,"1,245.60"
2006-06-23,"1,244.50"
2006-06-26,"1,250.56"
2006-06-27,"1,239.20"
2006-06-28,"1,246.00"
2006-06-29,"1,272.87"
2006-06-30,"1,270.20"
2006-07-03,"1,280.19"
2006-07-04,"1,280.19"
2006-07-05,"1,270.91"
2006-07-06,"1,274.08"
2006-07-07,"1,265.48"
2006-07-10,"1,267.34"
2006-07-11,"1,272.52"
2006-07-12,"1,258.60"
2006-07-13,"1,242.29"
2006-07-14,"1,236.19"
2006-07-18,"1,236.86"
2006-07-19,"1,259.81"
2006-07-20,"1,249.13"
2006-07-21,"1,240.29"
2006-07-24,"1,260.91"
2006-07-25,"1,268.88"
2006-07-26,"1,268.40"
2006-07-27,"1,263.19"
2006-07-28,"1,278.55"
2006-07-31,"1,276.66"
2006-08-01,"1,270.92"
2006-08-02,"1,278.55"
2006-08-03,"1,280.27"
2006-08-04,"1,279.36"
2006-08-07,"1,275.77"
2006-08-08,"1,271.48"
2006-08-09,"1,265.95"
2006-08-10,"1,271.81"
2006-08-11,"1,266.74"
2006-08-14,"1,268.21"
2006-08-16,"1,295.43"
2006-08-17,"1,297.48"
2006-08-18,"1,302.30"
2006-08-21,"1,297.52"
2006-08-22,"1,298.81"
2006-08-23,"1,292.99"
2006-08-24,"1,296.06"
2006-08-25,"1,295.09"
2006-08-28,"1,301.78"
2006-08-29,"1,304.28"
2006-08-30,"1,304.27"
2006-08-31,"1,303.81"
2006-09-01,"1,311.01"
2006-09-04,"1,311.01"
2006-09-05,"1,313.25"
2006-09-06,"1,300.26"
2006-09-07,"1,294.02"
2006-09-08,"1,298.92"
2006-09-11,"1,299.54"
2006-09-12,"1,313.11"
2006-09-13,"1,318.07"
2006-09-14,"1,316.28"
2006-09-15,"1,319.87"
2006-09-18,"1,321.18"
2006-09-19,"1,318.31"
2006-09-20,"1,325.18"
2006-09-21,"1,318.03"
2006-09-22,"1,314.78"
2006-09-25,"1,326.37"
2006-09-26,"1,336.34"
2006-09-27,"1,336.59"
2006-09-28,"1,339.15"
2006-09-29,"1,335.85"
2006-10-02,"1,330.28"
2006-10-04,"1,350.22"
2006-10-09,"1,350.66"
2006-10-10,"1,353.42"
2006-10-11,"1,349.95"
2006-10-12,"1,362.83"
2006-10-13,"1,365.62"
2006-10-16,"1,369.05"
2006-10-17,"1,364.05"
2006-10-18,"1,365.96"
2006-10-19,"1,366.96"
2006-10-20,"1,368.60"
2006-10-23,"1,377.02"
2006-10-24,"1,377.38"
2006-10-25,"1,382.22"
2006-10-26,"1,389.08"
2006-10-27,"1,377.34"
2006-10-30,"1,377.93"
2006-10-31,"1,377.94"
2006-11-01,"1,367.81"
2006-11-02,"1,367.34"
2006-11-03,"1,364.30"
2006-11-06,"1,379.78"
2006-11-07,"1,382.84"
2006-11-08,"1,385.72"
2006-11-09,"1,378.33"
2006-11-10,"1,380.90"
2006-11-13,"1,384.42"
2006-11-14,"1,393.22"
2006-11-15,"1,396.57"
2006-11-16,"1,399.76"
2006-11-17,"1,401.20"
2006-11-20,"1,400.50"
2006-11-21,"1,402.81"
2006-11-22,"1,406.09"
2006-11-23,"1,406.09"
2006-11-24,"1,400.95"
2006-11-27,"1,381.90"
2006-11-28,"1,386.72"
2006-11-29,"1,399.48"
2006-11-30,"1,400.63"
2006-12-01,"1,396.71"
2006-12-04,"1,409.12"
2006-12-05,"1,414.76"
2006-12-06,"1,412.90"
2006-12-07,"1,407.29"
2006-12-08,"1,409.84"
2006-12-11,"1,413.04"
2006-12-12,"1,411.56"
2006-12-13,"1,413.21"
2006-12-14,"1,425.49"
2006-12-15,"1,427.09"
2006-12-18,"1,422.48"
2006-12-19,"1,425.55"
2006-12-20,"1,423.53"
2006-12-21,"1,418.30"
2006-12-22,"1,410.76"
2006-12-26,"1,416.90"
2006-12-27,"1,426.84"
2006-12-28,"1,424.73"
2007-01-02,"1,424.73"
2007-01-03,"1,416.60"
2007-01-04,"1,418.34"
2007-01-05,"1,409.71"
2007-01-08,"1,412.84"
2007-01-09,"1,412.11"
2007-01-10,"1,414.85"
2007-01-11,"1,423.82"
2007-01-12,"1,430.73"
2007-01-15,"1,430.73"
2007-01-16,"1,431.90"
2007-01-17,"1,430.62"
2007-01-18,"1,426.37"
2007-01-19,"1,430.50"
2007-01-22,"1,422.95"
2007-01-23,"1,427.99"
2007-01-24,"1,440.13"
2007-01-25,"1,423.90"
2007-01-26,"1,422.18"
2007-01-29,"1,420.62"
2007-01-30,"1,428.82"
2007-01-31,"1,438.24"
2007-02-01,"1,445.94"
2007-02-02,"1,448.39"
2007-02-05,"1,446.99"
2007-02-06,"1,448.00"
2007-02-07,"1,450.02"
2007-02-08,"1,448.31"
2007-02-09,"1,438.06"
2007-02-12,"1,433.37"
2007-02-13,"1,444.26"
2007-02-14,"1,455.30"
2007-02-15,"1,456.81"
2007-02-16,"1,455.54"
2007-02-20,"1,459.68"
2007-02-21,"1,457.63"
2007-02-22,"1,456.38"
2007-02-23,"1,451.19"
2007-02-26,"1,449.37"
2007-02-27,"1,399.04"
2007-02-28,"1,406.82"
2007-03-02,"1,387.17"
2007-03-05,"1,374.12"
2007-03-06,"1,395.41"
2007-03-07,"1,391.97"
2007-03-08,"1,401.89"
2007-03-09,"1,402.85"
2007-03-12,"1,406.60"
2007-03-13,"1,377.95"
2007-03-14,"1,387.17"
2007-03-15,"1,392.28"
2007-03-16,"1,386.95"
2007-03-19,"1,402.06"
2007-03-20,"1,410.94"
2007-03-21,"1,435.04"
2007-03-22,"1,434.54"
2007-03-23,"1,436.11"
2007-03-26,"1,437.50"
2007-03-27,"1,429.61"
2007-03-28,"1,417.23"
2007-03-29,"1,422.53"
